iter	Passed	Remaining
424	1770	2395
425	1774	2390
426	1778	2387
427	1781	2381
428	1784	2375
429	1788	2370
430	1791	2365
431	1795	2360
432	1798	2355
433	1805	2355
434	1808	2349
435	1811	2343
436	1815	2338
437	1818	2333
438	1821	2328
439	1824	2322
440	1828	2317
441	1831	2312
442	1834	2306
443	1837	2301
444	1842	2297
445	1845	2292
446	1849	2288
447	1853	2283
448	1856	2278
449	1860	2273
450	1864	2269
451	1868	2264
452	1871	2259
453	1875	2255
454	1878	2249
455	1881	2244
456	1885	2239
457	1888	2234
458	1891	2229
459	1895	2225
460	1899	2220
461	1902	2215
462	1905	2210
463	1909	2205
464	1912	2200
465	1915	2195
466	1919	2190
467	1923	2186
468	1926	2181
469	1930	2176
470	1933	2171
471	1937	2166
472	1940	2161
473	1943	2156
474	1946	2151
475	1950	2146
476	1953	2141
477	1956	2136
478	1960	2131
479	1963	2127
480	1967	2122
481	1970	2117
482	1973	2112
483	1977	2108
484	1981	2103
485	1984	2098
486	1987	2093
487	1990	2088
488	1994	2083
489	1997	2078
490	2000	2073
491	2003	2068
492	2007	2064
493	2011	2059
494	2014	2055
495	2017	2050
496	2021	2045
497	2024	2040
498	2027	2035
499	2030	2030
500	2034	2026
501	2038	2021
502	2041	2016
503	2044	2012
504	2048	2008
505	2052	2003
506	2055	1999
507	2059	1994
508	2064	1991
509	2068	1987
510	2071	1982
511	2074	1977
512	2078	1972
513	2081	1968
514	2086	1965
515	2090	1960
516	2093	1956
517	2098	1952
518	2102	1948
519	2105	1943
520	2108	1938
521	2113	1934
522	2116	1930
523	2123	1928
524	2126	1924
525	2130	1919
526	2133	1914
527	2136	1910
528	2140	1905
529	2143	1901
530	2147	1896
531	2150	1891
532	2153	1886
533	2156	1882
534	2159	1877
535	2163	1873
536	2167	1868
537	2170	1863
538	2173	1859
539	2177	1854
540	2180	1850
541	2183	1845
542	2187	1840
543	2190	1836
544	2194	1831
545	2197	1827
546	2203	1825
547	2210	1823
548	2222	1825
549	2232	1826
550	2247	1831
551	2261	1835
552	2274	1838
553	2293	1846
554	2300	1844
555	2310	1844
556	2336	1858
557	2345	1858
558	2350	1854
559	2354	1850
560	2360	1846
561	2365	1843
562	2372	1841
563	2379	1839
564	2384	1836
565	2389	1831
566	2393	1827
567	2398	1823
568	2402	1819
569	2406	1815
570	2410	1811
571	2418	1809
572	2419	1803
573	2423	1798
574	2429	1795
575	2433	1790
576	2436	1786
577	2440	1782
578	2446	1778
579	2451	1774
580	2458	1772
581	2462	1768
582	2466	1763
583	2469	1759
584	2474	1755
585	2478	1751
586	2482	1746
587	2485	1741
588	2489	1737
589	2492	1732
590	2495	1727
591	2499	1722
592	2502	1717
593	2506	1713
594	2509	1708
595	2512	1702
596	2515	1698
597	2520	1694
598	2523	1689
599	2527	1684
600	2530	1680
601	2534	1675
602	2537	1670
603	2540	1665
604	2543	1660
605	2546	1655
606	2550	1651
607	2553	1646
608	2556	1641
609	2560	1637
610	2563	1632
611	2567	1627
612	2570	1622
613	2573	1618
614	2577	1613
615	2580	1608
616	2583	1603
617	2587	1599
618	2590	1594
619	2594	1590
620	2597	1585
621	2603	1582
622	2607	1577
623	2610	1572
624	2614	1568
625	2617	1563
626	2620	1558
627	2624	1554
628	2628	1550
629	2631	1545
630	2634	1540
631	2638	1536
632	2641	1531
633	2645	1527
634	2648	1522
635	2652	1518
636	2655	1513
637	2659	1508
638	2662	1504
639	2665	1499
640	2669	1495
641	2672	1490
642	2675	1485
643	2678	1480
644	2682	1476
645	2685	1471
646	2689	1467
647	2692	1462
648	2696	1458
649	2699	1453
650	2702	1449
651	2706	1444
652	2710	1440
653	2714	1435
654	2717	1431
655	2721	1426
656	2724	1422
657	2728	1418
658	2731	1413
659	2734	1408
660	2738	1404
661	2742	1400
662	2745	1395
663	2749	1391
664	2752	1386
665	2755	1382
666	2759	1377
667	2762	1372
668	2765	1368
669	2768	1363
670	2771	1359
671	2775	1354
672	2778	1350
673	2781	1345
674	2785	1341
675	2788	1336
676	2791	1331
677	2794	1327
678	2798	1322
679	2801	1318
680	2804	1313
681	2808	1309
682	2811	1304
683	2814	1300
684	2818	1295
685	2821	1291
686	2824	1286
687	2828	1282
688	2831	1278
689	2835	1273
690	2838	1269
691	2841	1264
692	2851	1263
693	2856	1259
694	2860	1255
695	2865	1251
696	2869	1247
697	2872	1242
698	2876	1238
699	2879	1234
700	2882	1229
701	2886	1225
702	2889	1220
703	2893	1216
704	2897	1212
705	2900	1207
706	2903	1203
707	2907	1199
708	2911	1194
709	2914	1190
710	2918	1186
711	2921	1181
712	2925	1177
713	2928	1173
714	2932	1168
715	2935	1164
716	2938	1160
717	2942	1155
718	2946	1151
719	2949	1147
720	2953	1142
721	2957	1138
722	2961	1134
723	2964	1130
724	2968	1125
725	2971	1121
726	2975	1117
727	2978	1112
728	2981	1108
729	2984	1103
730	2988	1099
731	2991	1095
732	2994	1090
733	2997	1086
734	3001	1082
735	3005	1077
736	3008	1073
737	3011	1069
738	3014	1064
739	3018	1060
740	3021	1056
741	3024	1051
742	3027	1047
743	3031	1042
744	3034	1038
745	3037	1034
746	3040	1029
747	3043	1025
