iter	Logloss
0	0.688577652
1	0.6842046356
2	0.6802765656
3	0.6760362244
4	0.6718852234
5	0.6676631165
6	0.663137207
7	0.6592053223
8	0.6549682617
9	0.6512462616
10	0.6471485901
11	0.6434102631
12	0.639773941
13	0.6363117981
14	0.6327812195
15	0.6293585205
16	0.6255945587
17	0.6225216293
18	0.6191217804
19	0.6160014343
20	0.6126314545
21	0.6095884705
22	0.6062034607
23	0.6035126114
24	0.6004513168
25	0.597244873
26	0.5939857101
27	0.5912599945
28	0.5884925079
29	0.5855625153
30	0.5826108551
31	0.5796012497
32	0.5765221405
33	0.5741162872
34	0.5714276505
35	0.5688150024
36	0.5663574219
37	0.5638031387
38	0.5619316864
39	0.5591628265
40	0.5564901733
41	0.55388237
42	0.551668396
43	0.5491815567
44	0.5468843842
45	0.5444649506
46	0.5422707748
47	0.5402234268
48	0.5381964874
49	0.5361001205
50	0.5343364716
51	0.5326021194
52	0.5305676651
53	0.5284936905
54	0.5268171692
55	0.5250249481
56	0.5232523727
57	0.5213803101
58	0.519553299
59	0.5178410339
60	0.5162349701
61	0.5142539978
62	0.5127761078
63	0.5114478683
64	0.5098327637
65	0.507975769
66	0.5064425659
67	0.5048152924
68	0.5031711197
69	0.501830864
70	0.5006085968
71	0.499188385
72	0.4975897217
73	0.4960422516
74	0.4942920685
75	0.4931034088
76	0.4916812515
77	0.490098381
78	0.4886022949
79	0.487070694
80	0.4857627106
81	0.4842413712
82	0.4828801346
83	0.4816638947
84	0.4804854584
85	0.479076767
86	0.4777713394
87	0.476552887
88	0.4754859161
89	0.474165535
90	0.4731505585
91	0.4726019287
92	0.4715504837
93	0.4703264618
94	0.4689073944
95	0.4674108505
96	0.4661214447
97	0.4649590683
98	0.4638796234
99	0.4627978134
100	0.4618214035
101	0.4610351563
102	0.4602307129
103	0.4590990829
104	0.4581246567
105	0.4571198273
106	0.4562805939
107	0.4551283264
108	0.4542453766
109	0.4533435059
110	0.4525251007
111	0.4515684891
112	0.4504561996
113	0.4495346069
114	0.4485825729
115	0.4476715851
116	0.4464745331
117	0.4454880524
118	0.4445066833
119	0.4435498428
120	0.4427622986
121	0.4417005157
122	0.4410373688
123	0.4403238678
124	0.4395331192
125	0.4388645935
126	0.4380271912
127	0.4373321533
128	0.4366755295
129	0.435836792
130	0.4347016144
131	0.4339569473
132	0.4332879257
133	0.4325289154
134	0.4317717361
135	0.4310644531
136	0.4304117203
137	0.4297624969
138	0.4287792969
139	0.428098793
140	0.4272483063
141	0.4262830353
142	0.4255147934
143	0.4246537018
144	0.4235205078
145	0.4230646515
146	0.4223403931
147	0.421648941
148	0.4208478928
149	0.4200769424
150	0.4193178558
151	0.4186756897
152	0.4179000092
153	0.4170719147
154	0.4161878967
155	0.4155524445
156	0.4150067139
157	0.4141616821
158	0.4134923172
159	0.4130018616
160	0.4125125885
161	0.4119881439
162	0.4114210892
163	0.4108880997
164	0.4102899933
165	0.4098713684
166	0.4092670441
167	0.4086410522
168	0.4079322815
169	0.4072451782
170	0.4067838287
171	0.4059859467
172	0.4053757477
173	0.4047364044
174	0.4043483734
175	0.4037345123
176	0.4029590988
177	0.4023643494
178	0.4018980789
179	0.4010644913
180	0.4004985046
181	0.4001038742
182	0.3994386673
183	0.398767395
184	0.3981835175
185	0.3975984192
186	0.3969524765
187	0.3962010956
188	0.3954551697
189	0.3950769043
190	0.3946564484
191	0.3938485718
192	0.3931155396
193	0.3924538422
194	0.3916830444
195	0.3913912964
196	0.390760498
197	0.3904413605
198	0.3897953033
199	0.3893058014
200	0.3887120819
201	0.3882142639
202	0.3877125549
203	0.3872240448
204	0.386598053
205	0.3860044479
206	0.3853559875
207	0.3848303223
208	0.3841773987
209	0.3837373734
210	0.3831938171
211	0.3826502991
212	0.3821825409
213	0.3815088654
214	0.3807424927
215	0.3800135803
216	0.3795699692
217	0.3791674042
218	0.3783277512
219	0.3783065033
220	0.3775568008
221	0.377046051
222	0.3764965057
223	0.3760407257
224	0.375437088
225	0.3750132751
226	0.3744524002
227	0.3738260269
228	0.3731959534
229	0.3727411652
230	0.3721014404
231	0.3715381622
232	0.3708755875
233	0.3703037262
234	0.3696028137
235	0.3692357635
236	0.3684547424
237	0.3677095795
238	0.3672627258
239	0.3666852188
240	0.3662284851
241	0.3656018066
242	0.3647176361
243	0.3642410278
244	0.3638639069
245	0.3634838486
246	0.3629430389
247	0.3624491119
248	0.3618688965
249	0.3613465118
250	0.3609625244
251	0.3602893448
252	0.3596923065
253	0.3589589691
254	0.3584972382
255	0.3579777908
256	0.3573395538
257	0.3569243622
258	0.3563935852
259	0.3560411072
260	0.3553749084
261	0.355107193
262	0.3545664978
263	0.3540764999
264	0.3537187958
265	0.3531708527
266	0.3526776123
267	0.3522271729
268	0.3517599869
269	0.3513784027
270	0.3508615875
271	0.35034729
272	0.3498841095
273	0.3494156647
274	0.3489061737
275	0.3486728287
276	0.3482866669
277	0.3477334595
278	0.3472635651
279	0.3468767548
280	0.3462348175
281	0.3456673431
282	0.3452639771
283	0.3450002289
284	0.3442570114
285	0.3438737488
286	0.3434867096
287	0.3429842377
288	0.3425064468
289	0.3422005463
290	0.3416108704
291	0.3412524796
292	0.3408698273
293	0.3404975891
294	0.3400576782
295	0.3396567917
296	0.3392173767
297	0.3385997772
298	0.3381660843
299	0.3376588058
300	0.337270813
301	0.336705246
302	0.3362970352
303	0.335842247
304	0.3353642654
305	0.3348271179
306	0.334389801
307	0.3340264893
308	0.3336228561
309	0.3332223129
310	0.3329177094
